cell_type_name,CO_id,Ass.Ontology
Metallothionein+.lactocyte,CL0002325,lactocyte
Multipotential.fibroblast,CL0000057,fibroblast
Endocrine.cell,CL0000163,endocrine cell
Early.spermatocyte,CL0000017,spermatocyte
ADOP.Fibroblast,CL0000057,fibroblast
CXCL1_2_3.Fibroblast,CL0000057,fibroblast
Ciliary.body.cell,CL0002303,pigmented ciliary epithelial cell
Cycling.cDC2.cell,CL4033070,cycling dendritic cell
Pre-pDC_lymphoid.origin_.cell,CL0000051,common lymphoid progenitor
Amacrine.cell,CL0000561,amacrine cell
Bronchus.mucous.viscosity.cell,CL4033022,mucus secreting cell of bronchus submucosal gland
F13A.Fibroblast,CL0000057,fibroblast
Fibrous.Protoplasmatic.astrocyte,CL0000127,astrocyte
Acinal.cell,CL0000622,acinar cell
Prostatic.glandular.cell.HPA,CL0000150,glandular epithelial cell
PVALB.Inhibitory.neuron,CL4023018,pvalb GABAergic cortical interneuron
Astrocyte.HPA,CL0000127,astrocyte
Round.spermatid,CL0000018,spermatid
APOE.Fibroblast,CL0000057,fibroblast
Smooth.muscle.cell.HPA,CL0000192,smooth muscle cell
Basal.squamous.epithelial.cell.HPA,CL0000076,squamous epithelial cell
Proliferation.Mast.cell,CL0000097,mast cell
SPINK1+SGMS2+.Cholangiocyte,CL1000488,cholangiocyte
Chromaffin.cell,CL0000166,chromaffin cell
Secretory.cell.HPA,CL0000151,secretory cell
KRT14.basal.cell,CL0000646,basal cell
Common.lymphoid.progenitor,CL0000051,common lymphoid progenitor
Distal.enterocyte,CL0000584,enterocyte
Extravillous.trophoblast,CL0008036,extravillous trophoblast
Cone.cell,CL0000718,compound eye cone cell
Basal.superbasal.keratinocyte,CL4033013,suprabasal keratinocyte
Excitatory.neuron,CL0000104,multipolar neuron
Epithelial.cell.of.conjunctiva,CL1000432,conjunctival epithelial cell
CXCL6+.Cholangiocyte,CL1000488,cholangiocyte
Tonsillar.crypt.cell,CL1001577,tonsil squamous cell
CCL2+SFRP2+.Fibroblast,CL0000057,fibroblast
Mammary.basal.cell,CL0000646,basal cell
Excitatory.neuron.HPA,CL0000104,multipolar neuron
Plasma.cell.HPA,CL0000786,plasma cell
Primordial.germ.cell,CL0000670,primordial germ cell
Keratinocyte,CL0000312,keratinocyte
Myeloid.cell,CL0000763,myeloid cell
Mast.cell,CL0000097,mast cell
Developing.germ.cell,CL0000586,germ cell
ECM1.basal.cell,CL0000646,basal cell
Fast-twitch.skeletal.muscle.cell,CL0000190,fast muscle cell
Microglia.HPA,CL0000129,microglial cell
Cycling.goblet.cell,CL0000160,goblet cell
Cone-off-bipolar.cell,CL0000752,cone retinal bipolar cell
Cycling.myeloid.cell,CL4033081,cycling myeloid cell
Adipose.ITLN1.Fibroblast,CL0009099,fibro/adipogenic progenitor cell
Sertoli.cell,CL0000216,Sertoli cell
Pulmonary.alveolar.type.1.cell,CL0002062,pulmonary alveolar type 1 cell
Alveolar.cells.type.2.HPA,CL0002063,pulmonary alveolar type 2 cell
Epithelial.cell.of.intestine,CL0002254,epithelial cell of small intestine
CCL19_21.Fibroblast,CL0000057,fibroblast
Light.zone.Follicular.dendritic.cell,CL0000442,follicular dendritic cell
CYGB+.Pericyte,CL0000669,pericyte
Ovary.granulosa.mesothelial.cell,CL0000501,granulosa cell
SLAMF1-XCL+.Innate.lymphoid.cell,CL0001065,innate lymphoid cell
Basal.respiratory.cell.HPA,CL0002633,respiratory basal cell
Smooth.muscle.cell,CL0000192,smooth muscle cell
PCP4+Vascular.smooth.muscle.cell,CL0000359,vascular associated smooth muscle cell
Early.spermatids,CL0000018,spermatid
Myofibroblast,CL0000186,myofibroblast cell
TIP.endothelial.cell,CL0000704,endothelial tip cell
Cone-on-bipolar.cell,CL0000752,cone retinal bipolar cell
Osteoclast,CL0000092,osteoclast
Granular.keratinocyte,CL0000312,keratinocyte
Retinal.ganglion.cell,CL0000740,retinal ganglion cell
Neuroendocrine.cell,CL0000165,neuroendocrine cell
CXCL14.Fibroblast,CL0000057,fibroblast
Pre-pDC.myeloid.cell,CL0000839,myeloid lineage restricted progenitor cell
C2ORF40.Fibroblast,CL0000057,fibroblast
Glandular.and.luminal.cell.HPA,CL0000150,glandular epithelial cell
Multiciliated.cell,CL0005012,multi-ciliated epithelial cell
Alpha.cell,CL0000171,pancreatic A cell
Hofbauer.cell,CL3000001,Hofbauer cell
Ciliated.cell,CL0000064,ciliated cell
Collecting.duct.cell.HPA,CL0000064,kidney collecting duct cell
TUBA1A.Ductal.cell,CL0002079,pancreatic ductal cell
CXCL+.CCL19.21.Pericyte,CL0000669,pericyte
Beta.cell,CL0000169,type B pancreatic cell
Distal.tubular.cell.HPA,CL1000849,kidney distal convoluted tubule epithelial cell
Mucus.glandular.cell.HPA,CL0000319,mucus secreting cell
Unbiguous.common.progenitor,CL0011026,progenitor cell
